Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Eng Limit Type	Eng Yellow Limit	Eng Red Limit	Sci Limit Type	Sci Yellow Limit	Sci Red Limit
33	CDH	MT_WD_MON	2	5	0	101	33	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	33	0	0	0	0	0	0
34	CDH	MT_EZ_MON	2	5	0	101	34	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	34	0	0	0	0	0	0
35	CDH	MT_MA1_MON	2	5	0	101	35	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	35	0	0	0	0	0	0
36	CDH	MT_MA2_MON	2	5	0	101	36	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	36	0	0	0	0	0	0
37	CDH	MT_FC_MON	2	5	0	101	37	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	37	0	0	0	0	0	0
38	CDH	QD_BS_MON	2	5	0	101	38	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	38	0	0	0	0	0	0
39	CDH	BA_FIL_VMON	2	5	0	101	39	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	39	0	0	0	0	0	0
40	CDH	BA_FIL_IMON	2	5	0	101	40	0	0	0	%d	%.4f	2	1	10	A	%.1f	1	TRUE	0	1	0	0	0.00E+00	0	0	0	40	0	0	0	0	0	0
41	CDH	BA_FIL_EMIS	2	5	0	101	41	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0.00E+00	0	0	0	41	0	0	0	0	0	0
42	CDH	BA_GRID_IMON	2	5	0	101	42	0	0	0	%d	%.4f	2	1	10	A	%.1f	1	TRUE	0	1	0	0	0	0	0	0	42	0	0	0	0	0	0
43	CDH	BA_PRES	2	5	0	101	43	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	43	0	0	0	0	0	0
