c3d56976-2fce-4898-b9fb-6029c1133992
t,label,value
1643116923919000,ANALOG_TUNE_A,0
1643116923919000,ANALOG_TUNE_B,0
1643116923919000,UPS_LOAD_%,0
1643116923919000,UPS_STATUS, 10000
1643116923919000,MO1_LD1_CURR,400
1643116923919000,MO1_LD2_CURR,399.9
1643116923919000,MO1_LD1_VOLT,2.087
1643116923919000,MO1_LD2_VOLT,2.087
1643116923919000,MO1_LD1_PD_Current,276
1643116923919000,MO1_LD2_PD_Current,262
1643116923919000,MO1_LD_TEC,21.999851
1643116923919000,MO1_LD_TEC_V,0.421612
1643116923919000,MO1_LD_TEC_I,-0.540497
1643116923919000,MO1_CRYSTAL_TEC,36.999592
1643116923919000,MO1_CRYSTAL_TEC_V,0.286506
1643116923919000,MO1_CRYSTAL_TEC_I,0.057006
1643116923919000,MO1_CASE_TEC,21.499
1643116923919000,MO1_CASE_TEC_V,-0.4
1643116923919000,MO1_CASE_TEC_I,-0.13
1643116923919000,MO1_PD_Current,5591
1643116923919000,MO_POWER_RAW,0.136121
1643116923919000,uNPRO_Lid_Pumps,21.566906
1643116923919000,uNPRO_Lid_XTAL,21.441663
1643116923919000,uNPRO_LID_OPTAP,21.708907
1643116923919000,uNPRO_Snout,21.620843
1643116923919000,Baseplate_at_Snout,19.362152
1643116923919000,Breadboard_Snout+135deg,19.236834
1643116923919000,Baseplate_Snout+135deg,19.349627
1643116924929000,ELAPSED_SEC,9.698
1643116924929000,SCAN_INDEX,-1
1643116924929000,ANALOG_TUNE_A,0
1643116924929000,ANALOG_TUNE_B,0
1643116924929000,UPS_LOAD_%,0
1643116924929000,UPS_STATUS, 10000
1643116924929000,MO1_LD1_CURR,400
1643116924929000,MO1_LD2_CURR,399.9
1643116924929000,MO1_LD1_VOLT,2.087
1643116924929000,MO1_LD2_VOLT,2.087
1643116924929000,MO1_LD1_PD_Current,276
1643116924929000,MO1_LD2_PD_Current,262
1643116924929000,MO1_LD_TEC,21.999851
1643116924929000,MO1_LD_TEC_V,0.421612
1643116924929000,MO1_LD_TEC_I,-0.540497
1643116924929000,MO1_CRYSTAL_TEC,36.999592
1643116924929000,MO1_CRYSTAL_TEC_V,0.286506
1643116924929000,MO1_CRYSTAL_TEC_I,0.057006
1643116924929000,MO1_CASE_TEC,21.502
1643116924929000,MO1_CASE_TEC_V,-0.36
1643116924929000,MO1_CASE_TEC_I,-0.11
1643116924929000,MO1_PD_Current,5591
1643116924929000,MO_POWER_RAW,0.136272
1643116924929000,uNPRO_Lid_Pumps,21.570221
1643116924929000,uNPRO_Lid_XTAL,21.445186
1643116924929000,uNPRO_LID_OPTAP,21.707768
1643116924929000,uNPRO_Snout,21.622073
1643116924929000,Baseplate_at_Snout,19.362118
1643116924929000,Breadboard_Snout+135deg,19.237226
1643116924929000,Baseplate_Snout+135deg,19.349729
1643116925939000,ELAPSED_SEC,10.708
1643116925939000,SCAN_INDEX,-1
1643116925939000,ANALOG_TUNE_A,0
1643116925939000,ANALOG_TUNE_B,0
1643116925939000,UPS_LOAD_%,0
1643116925939000,UPS_STATUS, 10000
1643116925939000,MO1_LD1_CURR,400
1643116925939000,MO1_LD2_CURR,399.9
1643116925939000,MO1_LD1_VOLT,2.087
1643116925939000,MO1_LD2_VOLT,2.087
1643116925939000,MO1_LD1_PD_Current,276
1643116925939000,MO1_LD2_PD_Current,262
1643116925939000,MO1_LD_TEC,21.999489
1643116925939000,MO1_LD_TEC_V,0.422645
1643116925939000,MO1_LD_TEC_I,-0.542097
1643116925939000,MO1_CRYSTAL_TEC,37.000481
1643116925939000,MO1_CRYSTAL_TEC_V,0.286637
1643116925939000,MO1_CRYSTAL_TEC_I,0.057057
1643116925939000,MO1_CASE_TEC,21.501
1643116925939000,MO1_CASE_TEC_V,-0.38
1643116925939000,MO1_CASE_TEC_I,-0.12
1643116925939000,MO1_PD_Current,5591
1643116925939000,MO_POWER_RAW,0.136088
1643116925939000,uNPRO_Lid_Pumps,21.57302
1643116925939000,uNPRO_Lid_XTAL,21.450881
1643116925939000,uNPRO_LID_OPTAP,21.707517
1643116925939000,uNPRO_Snout,21.627319
1643116925939000,Baseplate_at_Snout,19.362597
1643116925939000,Breadboard_Snout+135deg,19.238297
1643116925939000,Baseplate_Snout+135deg,19.350226
1643116926951000,ELAPSED_SEC,11.720
1643116926951000,SCAN_INDEX,-1
1643116926951000,ANALOG_TUNE_A,0
1643116926951000,ANALOG_TUNE_B,0
1643116926951000,UPS_LOAD_%,0
1643116926951000,UPS_STATUS, 10000
1643116926951000,MO1_LD1_CURR,400
1643116926951000,MO1_LD2_CURR,399.9
1643116926951000,MO1_LD1_VOLT,2.087
1643116926951000,MO1_LD2_VOLT,2.087
1643116926951000,MO1_LD1_PD_Current,276
1643116926951000,MO1_LD2_PD_Current,262
1643116926951000,MO1_LD_TEC,21.999489
1643116926951000,MO1_LD_TEC_V,0.422645
1643116926951000,MO1_LD_TEC_I,-0.542097
1643116926951000,MO1_CRYSTAL_TEC,37.000481
1643116926951000,MO1_CRYSTAL_TEC_V,0.286637
1643116926951000,MO1_CRYSTAL_TEC_I,0.057057
1643116926951000,MO1_CASE_TEC,21.5
1643116926951000,MO1_CASE_TEC_V,-0.38
1643116926951000,MO1_CASE_TEC_I,-0.12
1643116926951000,MO1_PD_Current,5591
1643116926951000,MO_POWER_RAW,0.136071
1643116926951000,uNPRO_Lid_Pumps,21.570662
1643116926951000,uNPRO_Lid_XTAL,21.455224
1643116926951000,uNPRO_LID_OPTAP,21.709679
1643116926951000,uNPRO_Snout,21.632106
1643116926951000,Baseplate_at_Snout,19.362135
1643116926951000,Breadboard_Snout+135deg,19.23879
1643116926951000,Baseplate_Snout+135deg,19.350208
1643116927960000,ELAPSED_SEC,12.729
1643116927960000,SCAN_INDEX,-1
1643116927960000,ANALOG_TUNE_A,0
1643116927960000,ANALOG_TUNE_B,0
1643116927960000,UPS_LOAD_%,0
1643116927960000,UPS_STATUS, 10000
1643116927960000,MO1_LD1_CURR,400
1643116927960000,MO1_LD2_CURR,399.9
1643116927960000,MO1_LD1_VOLT,2.087
1643116927960000,MO1_LD2_VOLT,2.087
1643116927960000,MO1_LD1_PD_Current,276
1643116927960000,MO1_LD2_PD_Current,262
1643116927960000,MO1_LD_TEC,22.000204
1643116927960000,MO1_LD_TEC_V,0.422096
1643116927960000,MO1_LD_TEC_I,-0.540659
1643116927960000,MO1_CRYSTAL_TEC,37.000355
1643116927960000,MO1_CRYSTAL_TEC_V,0.287707
1643116927960000,MO1_CRYSTAL_TEC_I,0.057062
1643116927960000,MO1_CASE_TEC,21.5
1643116927960000,MO1_CASE_TEC_V,-0.38
1643116927960000,MO1_CASE_TEC_I,-0.12
1643116927960000,MO1_PD_Current,5591
1643116927960000,MO_POWER_RAW,0.136138
1643116927960000,uNPRO_Lid_Pumps,21.568746
1643116927960000,uNPRO_Lid_XTAL,21.458121
1643116927960000,uNPRO_LID_OPTAP,21.71157
1643116927960000,uNPRO_Snout,21.640605
1643116927960000,Baseplate_at_Snout,19.361605
1643116927960000,Breadboard_Snout+135deg,19.239267
1643116927960000,Baseplate_Snout+135deg,19.35002
1643116928971000,ELAPSED_SEC,13.740
1643116928971000,SCAN_INDEX,-1
1643116928971000,ANALOG_TUNE_A,0
1643116928971000,ANALOG_TUNE_B,0
1643116928971000,UPS_LOAD_%,0
1643116928971000,UPS_STATUS, 10000
1643116928971000,MO1_LD1_CURR,400
1643116928971000,MO1_LD2_CURR,399.9
1643116928971000,MO1_LD1_VOLT,2.087
1643116928971000,MO1_LD2_VOLT,2.087
1643116928971000,MO1_LD1_PD_Current,276
1643116928971000,MO1_LD2_PD_Current,262
1643116928971000,MO1_LD_TEC,22.000204
1643116928971000,MO1_LD_TEC_V,0.422096
1643116928971000,MO1_LD_TEC_I,-0.540659
1643116928971000,MO1_CRYSTAL_TEC,37.000355
1643116928971000,MO1_CRYSTAL_TEC_V,0.287707
1643116928971000,MO1_CRYSTAL_TEC_I,0.057062
1643116928971000,MO1_CASE_TEC,21.549
1643116928971000,MO1_CASE_TEC_V,0.68
1643116928971000,MO1_CASE_TEC_I,0.49
1643116928971000,MO1_PD_Current,5591
1643116928971000,MO_POWER_RAW,0.136372
1643116928971000,uNPRO_Lid_Pumps,21.570873
1643116928971000,uNPRO_Lid_XTAL,21.458692
1643116928971000,uNPRO_LID_OPTAP,21.71298
1643116928971000,uNPRO_Snout,21.645472
1643116928971000,Baseplate_at_Snout,19.362409
1643116928971000,Breadboard_Snout+135deg,19.240015
1643116928971000,Baseplate_Snout+135deg,19.349422
1643116929981000,ELAPSED_SEC,14.750
1643116929981000,SCAN_INDEX,-1
1643116929981000,ANALOG_TUNE_A,0
1643116929981000,ANALOG_TUNE_B,0
1643116929981000,UPS_LOAD_%,0
1643116929981000,UPS_STATUS, 10000
1643116929981000,MO1_LD1_CURR,400
1643116929981000,MO1_LD2_CURR,399.9
1643116929981000,MO1_LD1_VOLT,2.087
1643116929981000,MO1_LD2_VOLT,2.087
